Generation,Transportation,Workload,Delay,Unrecycled
14,415.23,80.63,622.6,73
14,416.5,119.75,659.1,65
14,499.83,126.73,321.23,57
14,353.49,61.73,240.76,140
14,318.67,77.38,269.25,126
14,367.93,31.22,1408.83,107
14,407.08,70.08,396.85,82
14,380.72,54.16,213.04,124
14,424.14,133.69,65.08,108
14,484.32,111.81,594.63,47
14,406.68,100.01,648.71,73
14,362.57,59.34,389.34,98
14,416.5,119.75,659.1,65
14,492.66,120.93,381.65,57
14,376.76,82.42,226.52,124
14,470.63,80.14,194.39,92
14,482.77,102.05,1233.24,47
14,376.6,82.29,283.16,124
14,339.9,36.77,329.04,124
14,418.65,115.34,231.08,92
14,539.38,250.99,2133.4,30
14,514.26,77.63,633.44,65
14,372.89,51.3,477.63,82
14,503.95,87.13,263.64,57
14,421.26,111.79,1072.61,65
14,376.6,82.29,283.16,124
14,339.9,36.77,329.04,124
14,416.5,119.75,659.1,65
14,454.25,82.03,434.09,65
14,362.58,70.95,283.16,131
14,570.49,60.31,448.82,77
14,426.58,0,2663.34,82
14,425.31,81.6,24.71,98
14,416.5,119.75,659.1,65
14,425.31,81.6,24.71,98
15,492.66,120.93,381.65,57
15,477.98,99.27,1057.44,56
15,445.3,69.58,717.02,59
15,491.7,136.71,757.11,47
15,457.54,73.2,1491.36,56
15,379.97,53.57,150.09,124
15,418.65,115.34,231.08,92
15,499.83,126.73,321.23,57
15,376.6,82.29,283.16,124
15,428.54,94.82,65.53,134
15,390.9,44.15,506.66,98
15,417.89,98.77,597.57,73
15,418.65,115.34,231.08,92
15,362.57,59.34,389.34,98
15,510.16,79.99,588.42,47
15,376.6,82.29,283.16,124
15,376.6,82.29,283.16,124
15,376.6,82.29,283.16,124
15,406.68,100.01,648.71,73
15,345.17,44.66,134.98,140
15,478.77,143.14,820.84,47
15,492.66,120.93,381.65,57
15,492.66,120.93,381.65,57
15,407.08,70.08,396.85,82
15,456.55,43.4,227.07,99
15,382.15,155.34,1979.55,82
15,435.35,128.32,65.08,108
15,406.93,100.21,702.14,65
15,492.66,120.93,381.65,57
15,416.5,119.75,659.1,65
15,473.65,120.69,849.83,39
15,482.77,102.05,1233.24,47
15,337.67,110.53,257.3,140
15,442.02,120.43,902.75,30
16,392.84,56.79,371.56,98
16,371.04,65.44,626.99,75
16,497.25,84.24,302.47,83
16,479.42,107.94,435.44,56
16,360.79,16.63,524.12,124
16,499.83,126.73,321.23,57
16,418.65,115.34,231.08,92
16,487.07,87.2,837.36,56
16,510.16,79.99,588.42,47
16,406.68,100.01,648.71,73
16,422.38,118.17,333.3,83
16,402.96,97,490.02,82
16,349.93,62.43,393.5,127
16,379.2,54.05,150.09,127
16,428.54,94.82,65.53,134
16,390.9,44.15,506.66,98
16,510.16,79.99,588.42,47
16,390.9,44.15,506.66,98
16,428.48,90,795.27,47
16,407.73,45.09,318.49,124
16,407.53,105.72,949.52,59
16,418.46,117.26,355.36,79
16,376.6,82.29,283.16,124
16,492.66,120.93,381.65,57
16,422.64,34.9,194.39,92
16,376.6,82.29,283.16,124
16,376.6,82.29,283.16,124
16,484.37,112.19,625.16,47
16,457.54,73.2,1491.36,56
16,390.9,44.15,506.66,98
16,376.6,82.29,283.16,124
16,376.6,82.29,283.16,124
16,402.96,97,490.02,82
16,380.33,85.31,418.79,115
16,445.3,69.58,717.02,59
17,448.68,58.08,1171.29,47
17,406.18,78.12,65.53,137
17,487.26,129.41,450.71,57
17,480.25,143.18,362.84,75
17,405.89,66.6,223.68,85
17,376.5,42.34,451.33,140
17,390.9,44.15,506.66,98
17,371.04,65.44,626.99,75
17,349.93,62.43,393.5,127
17,364.2,22.57,744.8,75
17,364.2,22.57,744.8,75
17,402.96,97,490.02,82
17,413.25,67.96,293.91,82
17,395.75,67.72,150.09,124
17,373.45,100.87,356.76,127
17,421.04,91.4,626.99,56
17,445.2,118.35,435.44,75
17,390.94,118.1,361,90
17,379.2,54.05,150.09,127
17,371.04,65.44,626.99,75
17,389.83,78.39,202.33,95
17,340.7,5.96,644.91,82
17,371.04,65.44,626.99,75
18,413.81,121.3,255.94,90
18,436.75,93.54,471.74,75
18,395.26,70.76,551.51,82
18,482.92,136.96,857.28,47
18,484.15,127.47,543,66
18,389.69,37.86,864.9,140
18,413.97,115.75,307.22,90
18,378.3,49.04,618.96,56
18,375.03,82.74,153.37,137
18,440.44,88.48,201.12,82
18,407.03,81.15,421.26,82
18,390.54,103.92,574.13,75
18,395.75,67.72,150.09,124
18,429.06,94.17,216.19,82
18,454.56,77.86,574.36,56
18,389.05,87.97,321.68,82
18,356.44,99.18,323.15,127
18,371.7,71.49,240.76,127
18,369.23,75.57,28.39,153
18,405.82,58.86,410.94,124
18,372.19,71.12,278.64,117
18,405.3,33.96,899.35,79
18,474.3,74.51,191.9,82
18,445.2,118.35,435.44,75
18,408.38,70.07,157.26,104
18,436.33,91.28,543.34,56
19,398.12,43.32,377.37,82
19,399.52,86.88,421.26,56
19,407.55,105.87,91.91,100
19,356.51,59.81,472.41,82
19,328.63,45.32,248.71,127
19,413.97,115.75,307.22,90
19,413.97,115.75,307.22,90
19,440.44,88.48,201.12,82
19,370.52,75.79,240.76,127
19,413.81,121.3,255.94,90
19,413.97,115.75,307.22,90
19,454.56,77.86,574.36,56
19,413.81,121.3,255.94,90
19,412.43,132.26,326.12,85
19,419.93,87.32,137.67,132
19,454.56,77.86,574.36,56
19,454.56,77.86,574.36,56
19,362.49,21.37,918.65,56
19,377.48,48.37,583.75,56
19,423.83,115.01,344.37,85
19,377.09,49.53,559.38,61
19,383.76,72.9,417.1,85
20,419.93,87.32,137.67,132
20,403.55,95.28,536.02,56
20,413.97,115.75,237.2,90
20,388.33,76.77,553.92,85
20,357.25,8.59,507.99,90
20,327,72.97,385.26,127
20,328.38,53.5,215.84,132
20,487.34,85.78,300.14,90
20,362.49,21.37,918.65,56
20,328.63,45.32,248.71,127
20,413.81,121.3,255.94,90
20,328.63,45.32,248.71,127
20,447.51,87.27,422.06,82
20,338.93,41.49,244.48,127
20,378.49,97.35,291.75,82
20,413.81,121.3,255.94,90
20,454.56,77.86,574.36,56
20,409.08,92.25,378.22,56
20,377.14,150.35,364.17,102
20,354.82,109.8,1002.42,124
20,328.63,45.32,248.71,127
20,440.44,88.48,201.12,82
20,347.19,60.22,240.88,127
20,437.08,94.97,215.56,87
20,437.81,64.83,561.15,72
20,423.09,98.89,98.31,132
20,451.38,102.86,321.68,56
20,440.44,88.48,201.12,82
20,362.49,21.37,918.65,56
21,340.47,5.8,553.92,85
21,357.25,8.59,507.99,90
21,340.66,0,1720.14,90
21,419.93,87.32,137.67,132
21,413.97,115.75,237.2,90
21,445.89,101.8,253.53,85
21,403.55,95.28,536.02,56
21,362.49,21.37,918.65,56
21,327,72.97,385.26,127
21,338.93,41.49,244.48,127
21,432.22,55.69,422.06,82
21,403.55,95.28,536.02,56
21,403.55,95.28,536.02,56
21,361.05,20.35,702.63,64
21,359.26,7.17,678.64,82
21,409.08,92.25,378.22,56
21,328.63,45.32,248.71,127
21,362.49,21.37,918.65,56
21,327,72.97,385.26,127
21,419.93,87.32,137.67,132
21,362.49,21.37,918.65,56
21,362.49,21.37,918.65,56
21,358.67,61.47,296.02,108
21,403.55,95.28,536.02,56
21,357.25,8.59,507.99,90
21,362.49,21.37,918.65,56
21,357.25,8.59,507.99,90
21,349.44,61.61,472.41,85
21,466.54,68.32,92.45,132
21,409.08,92.25,378.22,56
21,409.08,92.25,378.22,56
21,393.54,97.81,152.59,109
21,454.85,0.83,1370.14,47
21,382,105.61,394.77,90
21,386.03,97.29,378.22,85
21,382.38,104.58,321.68,90
22,366.39,74.55,248.71,127
22,311.4,0,1292.38,132
22,365.83,103.95,411.26,85
22,406.05,102.51,198.4,98
22,340.66,0,1720.14,90
22,419.93,87.32,137.67,132
22,427.48,76.91,309.03,98
22,361.05,20.35,702.63,64
22,327,72.97,385.26,127
22,372.59,85.52,245.15,127
22,386.03,90.55,199.78,90
22,419.93,87.32,137.67,132
22,535.43,112.97,443,48
22,370.94,62.65,279.88,127
22,357.25,8.59,507.99,90
22,365.83,103.95,411.26,85
22,331.79,28.55,594.19,106
22,419.93,87.32,137.67,132
22,403.55,95.28,536.02,56
22,356.44,99.18,323.15,127
22,361.05,20.35,702.63,64
22,419.93,87.32,137.67,132
22,414.24,73.62,248.71,127
22,378.16,78.1,164.14,132
22,309.43,12.74,393.56,132
22,362.06,86.72,433.39,87
22,340.66,0,1720.14,90
22,340.66,0,1720.14,90
22,424.32,113.53,307.01,61
22,419.93,87.32,137.67,132
22,419.93,87.32,137.67,132
22,481.54,90.3,179.71,82
22,361.05,20.35,702.63,64
22,327,72.97,385.26,127
23,328.38,53.5,215.84,132
23,462.85,112.8,525.33,64
23,356.26,86.19,454.3,85
23,370.62,119.73,659.59,64
23,441.14,85.01,246.92,98
23,366.6,98.28,384.12,90
23,370.62,119.73,659.59,64
23,327,72.97,385.26,127
23,421.71,87.21,186.59,127
23,361.05,20.35,702.63,64
23,328.63,45.32,248.71,127
23,377.17,69.32,380.86,98
23,364.61,74.29,199.78,132
23,373.85,87.63,186.59,127
23,383.92,113.93,324.31,90
23,333.01,29.41,676.2,101
23,327,72.97,385.26,127
23,393.41,82.78,197.57,127
23,371.44,87.46,197.57,127
23,356.8,60.06,245.15,127
23,373.04,96.78,420.16,90
23,384.39,65,272.31,100
23,404.14,86.03,137.67,132
23,387.2,66.02,383.35,85
23,331.79,28.55,594.19,106
24,361.58,87.25,160.42,132
24,367.5,60.87,421.26,85
24,325.22,72.44,324.56,132
24,327,72.97,385.26,127
24,363.44,90,361.04,90
24,342.63,73.16,199.78,132
24,355.65,81.69,197.57,127
24,392.88,104.11,298.92,90
24,285.79,74.32,208.97,132
24,456.92,91.09,246.92,98
24,348.82,68.85,199.78,132
24,383.28,85.84,358.82,85
24,376.84,92.68,582.44,64
24,340.47,5.8,553.92,85
24,400.88,95.34,135.45,127
24,457.49,151.38,748.66,56
24,382,89.38,384.12,85
24,373.42,88.04,321.68,90
24,328.63,45.32,248.71,127
24,328.63,45.32,248.71,127
24,377.17,69.32,380.86,98
24,361.05,20.35,702.63,64
24,328.63,45.32,248.71,127
24,327,72.97,385.26,127
24,328.38,53.5,215.84,132
24,421.71,87.21,186.59,127
24,412.47,84.68,246.92,124
24,378.05,93.15,664.45,59
24,340.47,5.8,553.92,85
24,376.84,92.68,582.44,64
24,398,87.32,312.32,98
25,367.5,60.87,421.26,85
25,304.63,144.69,1294.56,127
25,469.89,133.08,765.09,56
25,328.63,45.32,248.71,127
25,328.63,45.32,248.71,127
25,377.07,87.79,378.22,85
25,358.64,100.73,547.59,85
25,367.5,60.87,421.26,85
25,326.85,46.31,199.78,132
25,394.66,104.2,347.85,85
25,343.78,55.8,243.48,127
25,363.44,90,361.04,90
25,325.22,72.44,324.56,132
25,347.58,80.78,492.82,106
25,437.37,126.25,799.91,56
25,402.86,123.08,470.76,64
25,352.26,13.4,47.45,127
25,520.53,126.65,233,98
25,363.44,90,361.04,90
25,340.47,5.8,553.92,85
25,376.84,92.68,582.44,64
25,354.47,85.76,386.43,90
25,385.8,90.1,496.94,64
25,358.41,73.66,383.36,104
25,358.38,87.17,215.84,113
25,365.22,89.85,409.96,85
25,369.64,102.31,242.83,90
25,325.22,72.44,324.56,132
26,394.66,104.2,347.85,85
26,326.85,46.31,199.78,132
26,445.83,97.75,206.14,108
26,519.97,121.59,335.45,75
26,328.63,45.32,248.71,127
26,326.85,46.31,199.78,132
26,338.69,4.54,474.26,90
26,365.22,89.85,409.96,85
26,437.37,126.25,799.91,56
26,437.37,126.25,799.91,56
26,378.05,93.15,664.45,59
26,372.07,87.44,137.67,132
26,359.77,86.93,334.43,109
26,442.53,76.23,354.07,101
26,360.15,71.5,215.84,106
26,358.03,90.59,346.68,90
26,394.66,104.2,347.85,85
26,328.63,45.32,248.71,127
26,394.66,104.2,347.85,85
26,363.44,90,361.04,90
26,394.66,104.2,347.85,85
26,363.44,90,361.04,90
26,363.44,90,361.04,90
26,369.64,102.31,242.83,90
26,396.94,99.61,359.15,85
26,311.21,14,466.05,127
26,433.17,90.58,337.21,85
26,347.65,62.54,423.48,90
26,550.42,116.1,303.98,61
26,394.66,104.2,347.85,85
26,367.5,60.87,421.26,85
