Generation,Transportation,Workload,Delay,Unrecycled
12,475.03,45.08,422.94,0
12,452.5,53.01,748.23,0
12,533.22,64.71,0,0
12,474.87,44.94,440.47,0
12,475.03,45.08,422.94,0
12,475.03,45.08,422.94,0
12,452.5,53.01,748.23,0
12,474.87,44.94,440.47,0
12,475.03,45.08,422.94,0
12,452.5,53.01,748.23,0
12,503.24,104.11,329.89,0
12,452.5,53.01,748.23,0
12,475.03,45.08,422.94,0
12,452.5,53.01,748.23,0
12,474.87,44.94,440.47,0
12,452.66,53.03,730.69,0
12,474.87,44.94,440.47,0
12,475.03,45.08,422.94,0
12,474.87,44.94,440.47,0
12,474.87,44.94,440.47,0
12,474.87,44.94,440.47,0
12,475.03,45.08,422.94,0
12,452.5,53.01,748.23,0
12,533.22,64.71,0,0
12,475.03,45.08,422.94,0
12,475.03,45.08,422.94,0
12,475.03,45.08,422.94,0
12,452.5,53.01,748.23,0
12,475.03,45.08,422.94,0
12,474.87,44.94,440.47,0
12,475.03,45.08,422.94,0
13,474.87,44.94,440.47,0
13,475.03,45.08,422.94,0
13,475.03,45.08,422.94,0
13,475.03,45.08,422.94,0
